Time, Ambient, Target, Weight
402, 29.37, 26.35, 1069546.00
403, 29.35, 26.41, 1069440.00
404, 29.35, 26.41, 1069469.00
405, 29.37, 26.37, 1068940.00
406, 29.35, 26.41, 1069684.00
406, 29.37, 26.43, 1069718.00
407, 29.37, 26.41, 1069540.00
408, 29.37, 26.47, 1069579.00
409, 29.37, 26.41, 1069623.00
410, 29.37, 26.47, 1069582.00
411, 29.31, 26.41, 1069498.00
411, 29.35, 26.41, 1069567.00
412, 29.31, 26.43, 1069661.00
413, 29.37, 26.43, 1069424.00
414, 29.35, 26.37, 1069534.00
415, 29.37, 26.43, 1069491.00
416, 29.31, 26.37, 1069527.00
416, 29.31, 26.31, 1069462.00
417, 29.35, 26.35, 1069517.00
418, 29.31, 26.37, 1069555.00
419, 29.31, 26.35, 1069488.00
420, 29.37, 26.47, 1069610.00
421, 29.31, 26.35, 1069511.00
421, 29.31, 26.31, 1069596.00
422, 29.35, 26.41, 1069641.00
423, 29.31, 26.43, 1069638.00
424, 29.35, 26.41, 1069719.00
425, 29.31, 26.37, 1069708.00
426, 29.27, 26.49, 1069556.00
426, 29.35, 26.41, 1069757.00
427, 29.31, 26.37, 1069538.00
428, 29.31, 26.41, 1069927.00
429, 29.35, 26.49, 1072615.00
430, 29.35, 26.37, 1072612.00
431, 29.31, 26.47, 1072729.00
431, 29.31, 26.47, 1072677.00
432, 29.31, 26.37, 1072683.00
433, 29.31, 26.43, 1072695.00
434, 29.35, 26.49, 1072694.00
435, 29.29, 26.43, 1075634.00
436, 29.31, 26.43, 1075554.00
436, 29.35, 26.41, 1075585.00
437, 29.31, 26.41, 1075488.00
438, 29.31, 26.49, 1075665.00
439, 29.35, 26.37, 1075620.00
440, 29.35, 26.49, 1075699.00
441, 29.31, 26.43, 1078616.00
441, 29.29, 26.49, 1078646.00
442, 29.31, 26.41, 1078585.00
443, 29.35, 26.47, 1078603.00
444, 29.35, 26.53, 1078556.00
445, 29.29, 26.35, 1078734.00
446, 29.29, 26.41, 1075841.00
447, 29.35, 26.41, 1083366.00
447, 29.31, 26.35, 1395497.00
448, 29.31, 26.35, 1078622.00
449, 29.31, 26.35, 1078467.00
450, 29.29, 26.31, 1078415.00
451, 29.35, 26.37, 1078560.00
452, 29.29, 26.35, 1078435.00
452, 29.29, 26.35, 1078460.00
453, 29.29, 26.35, 1078489.00
454, 29.29, 26.37, 1078493.00
455, 29.29, 26.35, 1078465.00
456, 29.31, 26.31, 1078484.00
457, 29.29, 26.37, 1078498.00
457, 29.29, 26.35, 1078506.00
458, 29.29, 26.31, 1078604.00
459, 29.29, 26.43, 1078616.00
460, 29.27, 26.31, 1078577.00
461, 29.29, 26.35, 1078563.00
462, 29.27, 26.41, 1078567.00
462, 29.29, 26.37, 1078573.00
463, 29.27, 26.35, 1078671.00
464, 29.31, 26.41, 1078649.00
465, 29.29, 26.35, 1078585.00
466, 29.31, 26.31, 1078517.00
467, 29.29, 26.35, 1078569.00
467, 29.27, 26.31, 1078567.00
468, 29.27, 26.41, 1078590.00
469, 29.27, 26.31, 1078500.00
470, 29.27, 26.31, 1078547.00
471, 29.27, 26.27, 1078558.00
472, 29.29, 26.41, 1078584.00
472, 29.27, 26.35, 1078534.00
473, 29.27, 26.41, 1078570.00
474, 29.25, 26.35, 1078565.00
475, 29.23, 26.41, 1078508.00
476, 29.27, 26.41, 1078494.00
477, 29.29, 26.47, 1078520.00
477, 29.27, 26.31, 1078357.00
478, 29.25, 26.41, 1078302.00
479, 29.25, 26.41, 1078300.00
480, 29.27, 26.41, 1078310.00
481, 29.23, 26.37, 1078416.00
482, 29.25, 26.41, 1078384.00
482, 29.25, 26.41, 1078373.00
483, 29.29, 26.43, 1078297.00
484, 29.27, 26.47, 1078321.00
485, 29.27, 26.41, 1078376.00
486, 29.25, 26.41, 1078441.00
487, 29.27, 26.35, 1078407.00
487, 29.25, 26.41, 1078493.00
488, 29.29, 26.37, 1078479.00
489, 29.25, 26.35, 1078498.00
490, 29.27, 26.35, 1078507.00
491, 29.27, 26.41, 1078497.00
492, 29.23, 26.35, 1078436.00
492, 29.27, 26.35, 1078460.00
493, 29.27, 26.31, 1078503.00
494, 29.27, 26.31, 1078521.00
495, 29.27, 26.35, 1078465.00
496, 29.25, 26.41, 1085222.00
497, 29.27, 26.31, 1078592.00
498, 29.25, 26.31, 1078220.00
498, 29.27, 26.41, 1078487.00
499, 29.25, 26.31, 1078496.00
500, 29.23, 26.27, 1078438.00
501, 29.23, 26.23, 1078423.00
502, 29.23, 26.23, 1078642.00
503, 29.25, 26.31, 1078418.00
503, 29.23, 26.37, 1092938.00
504, 29.25, 26.43, 1101617.00
505, 29.27, 26.41, 1078758.00
506, 29.23, 26.37, 1078220.00
507, 29.23, 26.37, 1078726.00
508, 29.23, 26.43, 1078684.00
508, 29.21, 26.37, 1078382.00
509, 29.21, 26.37, 1096270.00
510, 29.23, 26.35, 1128097.00
511, 29.23, 26.37, 1153150.00
512, 29.23, 26.37, 1160702.00
513, 29.23, 26.35, 1160574.00
513, 29.23, 26.37, 1160543.00
514, 29.21, 26.35, 1160596.00
515, 29.19, 26.29, 1160790.00
516, 29.23, 26.37, 1160857.00
517, 29.23, 26.37, 1160512.00
518, 29.21, 26.35, 1161136.00
518, 29.17, 26.27, 1161002.00
519, 29.21, 26.21, 1160887.00
520, 29.19, 26.27, 1160996.00
521, 29.19, 26.41, 1161003.00
522, 29.21, 26.35, 1160916.00
523, 29.19, 26.35, 1160936.00
523, 29.19, 26.35, 1160827.00
